資料日期,代號,名稱,交易,收市,漲跌,開市,最高,最低,筆數,單位,金額,均價,明日參價,明日漲停,明日跌停
2024-08-16,13164,上曜四,等價,141.20,-5.30,147.00,147.00,141.20,4,13,"1,861,700",143.20,141.20,155.00,127.10
2024-08-16,13164,上曜四,議價,,,,,,,,,,,,
2024-08-16,13382,廣華二KY,等價,101.65,+1.95,100.00,103.00,100.00,10,38,"3,842,600",101.12,101.65,111.80,91.50
2024-08-16,13382,廣華二KY,議價,,,,,,,,,,,,
2024-08-16,13421,八貫一,等價,,,,,,,,,176.00,176.00,193.00,159.00
2024-08-16,13421,八貫一,議價,,,,,,,,,,,,
2024-08-16,140201,遠東新E1永,等價,108.70,+0.65,108.05,108.75,108.00,37,227,"24,561,950",108.34,108.70,119.55,97.85
2024-08-16,140201,遠東新E1永,議價,108.70,+0.65,,108.70,108.25,4,290,"31,450,100",,,,
2024-08-16,140202,遠東新E2永,等價,103.00,+0.40,102.55,103.05,102.55,131,"1,007","103,633,650",102.94,103.00,113.30,92.70
2024-08-16,140202,遠東新E2永,議價,103.00,+0.40,,103.00,103.00,3,552,"56,856,000",,,,
2024-08-16,14361,華友聯一,等價,641.00,+4.00,650.00,650.00,641.00,2,4,"2,573,000",643.25,641.00,705.00,577.00
2024-08-16,14361,華友聯一,議價,,,,,,,,,,,,
2024-08-16,14362,華友聯二,等價,,,,,,,,,561.33,566.00,622.00,510.00
2024-08-16,14362,華友聯二,議價,,,,,,,,,,,,
2024-08-16,14742,弘裕二,等價,,,,,,,,,104.54,107.90,118.65,97.15
2024-08-16,14742,弘裕二,議價,,,,,,,,,,,,
2024-08-16,15141,亞力一,等價,,,,,,,,,204.00,204.00,224.00,184.00
2024-08-16,15141,亞力一,議價,,,,,,,,,,,,
2024-08-16,15261,日馳一,等價,99.80,-0.80,99.75,99.80,99.70,29,63,"6,283,350",99.73,99.80,109.75,89.85
2024-08-16,15261,日馳一,議價,,,,,,,,,,,,
2024-08-16,15324,勤美四,等價,137.80,-0.20,133.70,137.80,133.70,7,11,"1,500,250",136.38,137.80,151.00,124.05
2024-08-16,15324,勤美四,議價,,,,,,,,,,,,
2024-08-16,15332,車王電二,等價,,,,,,,,,98.40,98.50,108.35,88.65
2024-08-16,15332,車王電二,議價,,,,,,,,,,,,
2024-08-16,15364,和大四,等價,112.50,+0.95,112.00,112.55,111.55,162,602,"67,365,500",111.90,112.50,123.75,101.25
2024-08-16,15364,和大四,議價,,,,,,,,,,,,
2024-08-16,15601,中砂一,等價,132.00,+3.00,130.00,132.00,128.85,124,335,"43,818,400",130.80,132.00,145.20,118.80
2024-08-16,15601,中砂一,議價,,,,,,,,,,,,
2024-08-16,15823,信錦三,等價,,,,,,,,,189.25,189.00,207.00,171.00
2024-08-16,15823,信錦三,議價,,,,,,,,,,,,
2024-08-16,15864,和勤四,等價,,,,,,,,,114.00,114.00,125.40,102.60
2024-08-16,15864,和勤四,議價,,,,,,,,,,,,
2024-08-16,15865,和勤五,等價,,,,,,,,,103.03,103.45,113.75,93.15
2024-08-16,15865,和勤五,議價,,,,,,,,,,,,
2024-08-16,15893,永冠三KY,等價,94.85,-0.05,94.85,94.85,94.85,1,1,"94,850",94.85,94.85,104.30,85.40
2024-08-16,15893,永冠三KY,議價,,,,,,,,,,,,
2024-08-16,15894,永冠四KY,等價,94.00,,94.10,94.10,94.00,8,10,"940,150",94.01,94.00,103.40,84.60
2024-08-16,15894,永冠四KY,議價,,,,,,,,,,,,
2024-08-16,15991,宏佳騰一,等價,,,,,,,,,105.06,105.20,115.70,94.70
2024-08-16,15991,宏佳騰一,議價,,,,,,,,,,,,
2024-08-16,16173,榮星三,等價,135.60,+3.50,132.25,135.60,132.25,3,4,"537,850",134.46,135.60,149.15,122.05
2024-08-16,16173,榮星三,議價,,,,,,,,,,,,
2024-08-16,17271,中華化一,等價,,,,,,,,,114.45,113.90,125.25,102.55
2024-08-16,17271,中華化一,議價,,,,,,,,,,,,
2024-08-16,17862,科妍二,等價,261.00,+1.00,261.00,262.00,260.00,24,64,"16,669,000",260.45,261.00,287.00,235.00
2024-08-16,17862,科妍二,議價,,,,,,,,,,,,
2024-08-16,18051,寶徠一,等價,112.25,+2.25,110.00,112.45,110.00,58,58,"6,474,550",111.63,112.25,123.45,101.05
2024-08-16,18051,寶徠一,議價,,,,,,,,,,,,
2024-08-16,18156,富喬六,等價,,,,,,,,,182.53,189.00,207.00,171.00
2024-08-16,18156,富喬六,議價,,,,,,,,,,,,
2024-08-16,19094,榮成四,等價,,,,,,,,,99.25,99.40,109.30,89.50
2024-08-16,19094,榮成四,議價,,,,,,,,,,,,
2024-08-16,20121,春雨一,等價,107.55,+1.05,106.50,107.90,106.50,43,224,"23,963,600",106.98,107.55,118.30,96.80
2024-08-16,20121,春雨一,議價,,,,,,,,,,,,
2024-08-16,20122,春雨二,等價,107.60,+1.10,103.50,107.60,103.50,25,57,"6,078,550",106.64,107.60,118.35,96.85
2024-08-16,20122,春雨二,議價,,,,,,,,,,,,
2024-08-16,20123,春雨三,等價,107.80,+1.15,106.65,107.90,106.65,9,164,"17,516,150",106.80,107.80,118.55,97.05
2024-08-16,20123,春雨三,議價,,,,,,,,,,,,
2024-08-16,20343,允強三,等價,,,,,,,,,121.00,115.00,126.50,103.50
2024-08-16,20343,允強三,議價,,,,,,,,,,,,
2024-08-16,20612,風青二,等價,118.00,-0.50,117.50,118.50,117.05,9,11,"1,295,500",117.77,118.00,129.80,106.20
2024-08-16,20612,風青二,議價,,,,,,,,,,,,
2024-08-16,20632,世鎧二,等價,109.20,,108.10,109.85,108.10,9,35,"3,808,400",108.81,109.20,120.10,98.30
2024-08-16,20632,世鎧二,議價,,,,,,,,,,,,
2024-08-16,20652,世豐二,等價,,,,,,,,,122.99,122.95,135.20,110.70
2024-08-16,20652,世豐二,議價,,,,,,,,,,,,
2024-08-16,20661,世德一,等價,,,,,,,,,224.00,224.00,246.00,202.00
2024-08-16,20661,世德一,議價,,,,,,,,,,,,
2024-08-16,20662,世德二,等價,,,,,,,,,121.00,120.95,133.00,108.90
2024-08-16,20662,世德二,議價,,,,,,,,,,,,
2024-08-16,21043,國際中橡三,等價,102.90,+0.55,102.60,102.90,102.60,6,14,"1,438,800",102.77,102.90,113.15,92.65
2024-08-16,21043,國際中橡三,議價,,,,,,,,,,,,
2024-08-16,22013,裕隆三,等價,102.90,+0.40,103.00,103.10,102.50,32,129,"13,245,850",102.68,102.90,113.15,92.65
2024-08-16,22013,裕隆三,議價,,,,,,,,,,,,
2024-08-16,22081,台船一,等價,104.50,-0.15,105.00,105.50,104.10,7,17,"1,786,600",105.09,104.50,114.95,94.05
2024-08-16,22081,台船一,議價,,,,,,,,,,,,
2024-08-16,22304,泰茂四,等價,,,,,,,,,466.44,660.00,726.00,594.00
2024-08-16,22304,泰茂四,議價,,,,,,,,,,,,
2024-08-16,22313,為升三,等價,,,,,,,,,109.90,112.50,123.75,101.25
2024-08-16,22313,為升三,議價,,,,,,,,,,,,
2024-08-16,22362,百達二KY,等價,,,,,,,,,172.54,171.00,188.00,154.00
2024-08-16,22362,百達二KY,議價,,,,,,,,,,,,
2024-08-16,22393,英利三KY,等價,,,,,,,,,100.80,100.80,110.85,90.75
2024-08-16,22393,英利三KY,議價,,,,,,,,,,,,
2024-08-16,22501,IKKA一KY,等價,,,,,,,,,123.00,123.00,135.30,110.70
2024-08-16,22501,IKKA一KY,議價,,,,,,,,,,,,
