抓取日期,發行機構代碼,發行機構名稱,債券名稱,掛牌日期,發行資料
2026-09-04,2436,偉詮電子股份有限公司,偉詮電子股份有限公司國內第一次無擔保轉換公司債,112/09/11,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=24361&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2436&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,1526,日馳企業股份有限公司,日馳企業股份有限公司國內第一次無擔保轉換公司債,112/09/19,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=15261&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=1526&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2906,高林實業股份有限公司,高林實業股份有限公司國內第一次無擔保轉換公司債,112/09/20,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=29061&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2906&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,4564,元翎精密工業股份有限公司,元翎精密工業股份有限公司國內第一次無擔保轉換公司債,112/09/26,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=45641&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=4564&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3708,上緯國際投資控股股份有限公司,上緯國際投資控股股份有限公司國內第三次有擔保轉換公司債,110/09/27,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=37083&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3708&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,8473,山林水環境工程股份有限公司,山林水環境工程股份有限公司國內第二次無擔保轉換公司債,110/09/28,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=84732&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=8473&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3708,上緯國際投資控股股份有限公司,上緯國際投資控股股份有限公司國內第四次無擔保轉換公司債,110/09/28,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=37084&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3708&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6873,泓德能源科技股份有限公司,泓德能源科技股份有限公司國內第一次無擔保轉換公司債,112/09/28,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=68731&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6873&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,5209,新鼎系統股份有限公司,新鼎系統股份有限公司國內第一次無擔保轉換公司債,112/10/06,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=52091&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=5209&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3680,家登精密工業股份有限公司,家登精密工業股份有限公司國內第四次無擔保轉換公司債,112/10/18,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=36804&bond_kind=5&bond_subn=%24M00000002&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3680&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,8442,威宏控股股份有限公司,威宏控股股份有限公司中華民國境內第二次有擔保轉換公司債,112/10/19,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=84422&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=8442&monyr_reg=202608&pg=&step=0&tg=
