TITLE,轉(交)換公司債停止轉(交)換資訊
DATADATE,日期:115年09月17日
ALIGN,C,L,C,C,R
HEADER,債券代碼,債券簡稱,停止轉(交)換起日,停止轉(交)換迄日,停止轉(交)換事由
BODY,"11011 ","台泥一永  ","2026/09/14","2026/10/13","股東臨時會"
BODY,"15952 ","川寶二    ","2026/09/04","2026/10/02","配股配息  "
BODY,"19094 ","榮成四    ","2026/09/02","2026/10/01","股東臨時會"
BODY,"25303 ","華建三    ","2026/08/26","2026/09/20","配股配息  "
BODY,"25303 ","華建三    ","2026/09/16","2026/10/15","股東臨時會"
BODY,"25304 ","華建四    ","2026/08/26","2026/09/20","配股配息  "
BODY,"25304 ","華建四    ","2026/09/16","2026/10/15","股東臨時會"
BODY,"30401 ","遠見一    ","2026/10/08","2026/11/06","股東臨時會"
BODY,"31413 ","晶宏三    ","2026/08/25","2026/09/19","配股配息  "
BODY,"35914 ","艾笛森四  ","2026/07/31","2026/09/18","其他      "
BODY,"35914 ","艾笛森四  ","2026/07/31","2026/10/08","其他      "
BODY,"53064 ","桂盟四    ","2026/10/07","2026/11/05","股東臨時會"
BODY,"53064 ","桂盟四    ","2026/10/07","2026/11/05","股東臨時會"
BODY,"53064 ","桂盟四    ","2026/08/31","2026/09/23","配股配息  "
BODY,"68301 ","汎銓一    ","2026/08/28","2026/09/22","現金增資  "
BODY,"80212 ","尖點二    ","2026/09/15","2026/10/12","現金增資  "
BODY,"80426 ","金山電六  ","2026/09/03","2026/09/28","現金增資  "
BODY,"80914 ","翔名四    ","2026/05/28","2027/06/22","配股配息  "
BODY,"98026 ","鈺齊六KY  ","2026/08/24","2026/09/17","配股配息  "

